UniqueCount	AmbigCount
0	9
0	0
22	1302
0	0
0	29
0	7
0	0
0	0
0	0
0	0
0	0
0	0
7	92
0	0
0	4
0	1
0	0
0	44
3	16
4	95
0	27
0	8
52	3
0	2
1	101
0	0
0	0
0	0
0	0
11	1633
0	236
1	363
2	223
101	231
0	0
0	142
0	46
0	4
0	12
0	2
0	11
0	8
0	8
0	0
0	0
0	0
0	1
3	7
0	0
4	0
0	110
0	19
0	26
0	22
11	9
0	12
0	19
3	9
0	0
0	0
0	0
0	17
6	211
0	2
0	0
0	2
0	2
0	1
0	1
0	0
0	0
0	15
0	0
0	0
0	1
0	6
0	2
3842	18132
7975	106571
19184	346497
0	0
139	7817
2	0
133520	51224
127	7912
0	0
0	0
0	14
84	895
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	16
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	75
0	0
16	0
0	2
0	0
0	3
0	18
0	65
3714	476
0	81
4	87
0	98
0	20
0	19
0	487
0	208
0	107
0	63
0	66
0	0
0	79
9	7
0	1
0	0
1	1
0	0
0	0
0	0
7	0
0	0
10	7
0	5
0	2
0	0
0	0
0	151
0	156
0	156
0	156
0	156
0	156
0	156
0	156
0	156
0	151
0	0
0	0
0	0
0	0
0	0
192	725
173	1576
41	1530
0	0
0	348
7	4
27	63
0	54
10	15
2	17
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	1
88	0
4	10
0	5
22	9
2	3
0	897
0	663
491	897
0	0
0	0
37	2808
5	3010
4	0
0	25
0	137
9	108
0	3
5	64
0	295
459	1043
0	24
6	55
0	15
0	55
0	0
0	23
0	23
0	0
0	0
1	238
4	227
0	261
0	279
32	185
1	245
0	236
0	21
3	167
0	112
0	76
0	86
0	36
3	16
0	18
0	17
0	5
0	7
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
2	7
0	3
0	4
3	2
1	2
0	0
11	1386
0	987
0	1171
139	1013
35	844
9	312
0	153
310	0
0	0
0	0
0	0
0	0
0	0
21	0
9	2523
0	2764
21	2415
41	1318
0	1196
0	1098
5	1050
12	210
0	1140
0	699
0	168
0	281
0	386
0	249
0	125
0	0
0	34
0	40
0	107
15	0
0	0
8	0
1	282
0	217
20	267
0	272
0	10
4	247
0	0
4	43
50	3502
336	3534
19	1813
0	2210
8	8
0	195
6	506
9	17
60	799
0	446
87	250
0	203
0	0
0	0
10	109
2	25
2	2
0	56
9	55
3	947
0	1280
1	1280
1	1022
0	697
0	1325
0	345
0	1114
0	1023
153	898
50	833
7	936
0	1268
1	1021
1	892
0	1014
0	1117
0	361
0	222
6	104
