UniqueCount	AmbigCount
0	6
0	0
54	1484
0	0
0	5
0	5
0	0
0	0
0	0
0	0
0	0
0	0
29	85
0	1
0	2
0	0
0	0
6	42
5	28
4	181
0	48
0	4
114	6
0	6
7	141
0	0
0	0
0	0
0	0
6	1837
0	269
2	372
4	258
82	192
0	1
0	174
0	57
0	42
0	5
0	3
0	5
0	0
0	0
0	0
0	0
0	0
0	1
5	7
0	0
4	0
2	157
0	15
0	50
0	38
1	6
0	6
0	15
1	7
0	0
0	0
0	0
0	25
40	360
0	40
0	8
0	2
0	2
0	0
0	0
0	0
0	0
0	7
0	1
0	0
0	1
0	2
0	0
5295	31996
9955	88892
22491	343019
0	0
246	5468
1	0
217693	78854
82	8358
0	0
0	0
0	26
171	1195
0	8
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	8
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	53
0	0
28	0
0	0
0	0
0	4
0	21
0	82
4938	578
0	73
5	68
0	86
0	20
0	20
1	521
0	180
0	151
0	55
0	84
0	0
0	68
37	5
0	0
0	0
0	0
0	0
0	0
0	0
16	0
0	0
14	7
0	7
0	0
0	1
0	0
0	117
0	117
0	119
0	118
0	118
0	119
0	118
0	117
0	119
0	118
0	5
0	0
0	1
0	0
0	0
9	427
184	1293
34	1202
0	0
0	321
6	5
1	10
2	17
4	8
4	8
1	0
0	0
0	0
0	0
0	0
0	0
0	3
0	3
0	3
60	0
13	41
11	34
24	28
0	19
0	1014
0	737
497	1014
0	0
0	0
30	4065
16	4319
8	0
0	73
5	212
14	127
0	3
1	72
0	400
516	1381
0	42
9	71
0	13
0	71
0	0
0	35
0	37
0	0
0	0
3	184
3	163
0	197
0	202
37	135
2	192
0	181
0	16
0	126
0	76
0	63
0	66
0	32
2	19
0	8
0	19
0	8
0	13
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	9
1	26
0	19
0	15
2	1
4	1
0	0
20	1229
0	918
0	1055
139	817
0	645
7	278
3	183
474	0
0	0
0	0
0	0
0	0
0	0
5	0
12	1917
0	2124
9	1700
26	983
0	872
0	775
4	758
7	142
0	846
0	474
0	100
0	194
0	307
0	218
0	89
0	0
0	24
0	33
0	79
17	0
0	0
24	0
3	337
0	268
11	328
0	333
0	13
5	298
0	0
2	72
68	3549
184	3421
51	2086
0	2129
3	17
2	235
13	500
5	16
81	675
0	374
87	167
0	184
0	0
0	0
21	132
4	36
4	1
0	79
5	54
6	968
0	1385
1	1387
0	1128
0	705
1	1445
0	408
3	1244
0	1127
171	973
14	704
9	1000
0	1369
0	1122
1	979
0	1081
0	1197
0	399
2	251
14	120
0	810
0	225
0	283
0	320
5	192
0	239
0	329
0	35
2	121
0	379
0	181
0	199
0	265
0	246
0	243
14	22
29	13
0	126
0	231
3	167
6	105
0	94
0	115
0	52
0	50
0	33
0	51
0	5
0	0
0	0
0	0
4	0
11	194
464	327
0	144
7	0
1	2209
27	2290
1	1389
23	516
0	492
0	285
0	118
2	135
0	0
0	251
0	302
0	311
5	191
15	309
0	109
0	93
22	86
0	1
0	0
7	944
92	918
9	917
27	930
14	31
0	21
0	0
115	769
33	800
70	607
38	1053
6	1424
6	806
0	658
1	1031
0	749
0	382
0	644
0	119
0	97
0	110
0	161
0	606
13	40
0	156
0	3
0	58
1	117
10	395
13	429
0	20
0	12
0	398
9	403
0	180
581	1587
2	953
19	1178
5	9
53	647
0	99
0	12
158	1
18	297
7	305
0	304
0	93
6	47
0	0
12	0
0	0
0	0
0	0
0	0
69	61
19	232
157	293
0	8
91	31
0	2
0	4
21	399
82	390
0	42
55	294
142	201
7	294
0	283
0	298
0	298
0	3
1	47
0	25
84	1333
0	1333
69	3
365	2015
20	1485
0	530
247	165
100	0
0	0
430	0
432	1
2	977
0	1036
0	858
0	1044
47	1013
5	974
0	925
29	40
3	96
8	994
14	41
0	770
0	40
3	5
0	129
0	1025
1	693
0	71
0	926
9	836
2	41
8	30
9	838
2	131
6	25
0	16
1	107
0	209
0	305
0	140
0	61
9	61
1	14
0	0
2	6
1	12
0	12
0	6
0	7
0	7
0	2
0	5
139	1445
0	1321
0	1093
3	1314
0	1183
0	1113
0	1113
0	1113
0	205
0	39
1	519
0	3215
0	3198
8	1280
6	515
25	7
0	1
0	13
0	862
4	207
1	721
0	797
0	521
0	833
0	650
0	790
0	823
0	698
23	44
6	135
0	27
0	13
1	141
0	7
0	33
6	94
2	161
2	60
0	9
0	3
2	1
46	704
0	0
116	205
0	0
0	3
20	501
29	45
2	457
1	937
6	922
2	819
0	419
0	0
0	162
0	89
0	38
2	140
0	30
1	26
0	106
1	147
0	100
1	97
0	53
0	0
70	27250
0	25358
386	28655
11	3191
0	6831
1	2731
2	4389
0	1955
0	14
8	878
27	0
4	8
0	8
22	12
0	7
0	6
0	8
0	1
0	4
0	2
0	0
8	60
13	24
0	22
0	1
22	45
0	42
1	6
3	11
0	2
71	0
40	2587
1	1380
0	1440
0	1709
3	2240
34	1707
0	420
3	1980
1	1857
0	1564
19	0
22	2439
2	843
0	425
3	1454
0	598
0	819
0	268
31	1369
0	0
0	0
8	20911
0	931
0	1
0	2
0	2
0	3
3061	21118
0	981
273	19130
4	1834
14	3223
0	2128
0	3093
0	2202
0	3409
0	3669
0	2562
0	1416
0	842
0	2216
64	213
700	18994
0	3129
0	13624
0	12989
0	1229
1	1
58	0
44	0
0	3047
6	3052
3	3125
0	3148
0	402
33	120
0	104
0	192
0	172
10	172
5	160
0	46
0	146
0	1
0	0
0	0
1859	27
0	0
0	8
3	19
17	63
2	44
0	56
0	2
6	10
9	9
17	10
0	12
27	5
0	3
0	3
7	0
80	0
0	0
143	0
1	2060
0	113
0	2330
4	316
0	10
43	872
8	282
100	468
17	180
2	1567
0	1048
1	943
1	183
0	70
0	19
0	17
0	10
0	5
66	1130
0	1087
2	1087
8	1094
1	849
19	481
24	442
0	0
4	0
37	1549
3	1371
0	951
2	185
42	116
0	23
10	11
0	189
0	367
0	52
0	0
0	13
51	0
13	0
0	7
0	0
3	22
0	1
8	12
0	9
0	63
0	75
0	74
0	75
0	81
0	189
2	119
5	78
0	92
21	69
70	207
0	183
0	25
6	63
0	0
4	18
0	0
0	0
0	364
0	302
2	1736
0	1676
0	1865
3	1673
1	456
0	1787
0	481
0	126
0	108
1	161
1	1668
0	89
9	1568
1	145
0	150
0	8
0	10
0	0
0	0
0	0
0	2
0	0
0	0
33	3
0	3
0	0
0	0
0	0
0	0
73	311
1	193
7	19
13	262
53	469
0	5
0	9
36	72
0	156
0	17
0	220
0	151
159	234
0	133
0	0
0	144
0	31
0	0
0	0
0	0
0	0
0	0
4	78
0	78
0	77
0	9
0	3
0	9
35	68
0	0
2	72
8	84
0	6
0	64
0	1
0	4
0	1
0	0
9	0
645	3117
18	3117
22	231
19	232
102	14
0	98
0	59
0	26
0	10
0	98
4	76
0	23
0	17
0	17
0	1
0	16
0	16
0	1
0	1
0	1
0	1
0	17
0	1
0	0
0	1
0	0
0	0
0	0
0	52
1	405
157	571
0	16
8	410
14	295
2	51
0	116
0	47
0	15
0	0
0	4
0	0
0	0
5	2
0	0
0	2
1415	228
13	228
0	36
0	0
9	0
417	319
0	26
4	57
0	48
0	26
0	27
0	187
0	14
0	41
0	9
0	51
0	12
1	200
0	204
2	191
6	180
0	191
7	193
4	192
0	187
0	12
0	17
1	29
0	310
25	317
38	297
0	0
0	0
0	0
0	3
24	3
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	53
719	53
0	0
0	0
0	0
0	0
11	0
0	0
0	0
0	0
11	140
26	141
6	263
0	278
8	293
0	238
0	6
0	10
18	7
0	158
0	7
0	1113
937	11955
0	0
0	2968
0	503
21	71
0	11030
0	11694
0	2322
0	1818
31	3244
0	91
11	11612
0	0
4	350
86	10353
0	3948
0	1
13	1248
3745	7745
0	394
0	5060
13	3307
0	5812
0	279
0	186
4234	1494
59	1488
135	1794
230	1061
31	807
0	582
8	631
0	0
5	9
0	9
50	166
9	22
32	140
0	0
0	0
0	21
5	6
553	788
0	19
35	770
0	308
0	0
0	0
0	0
331	0
6	3064
6	2885
0	2880
13	2880
0	2541
0	2540
0	3093
0	3093
0	1758
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	9
0	0
0	7
0	0
0	0
0	914
93	1050
0	680
0	668
0	547
0	559
0	429
0	347
0	183
0	273
0	192
0	157
0	277
6	382
15	6
0	129
0	102
0	94
18	130
0	13
4	1329
5	1445
2	1445
0	1448
5	1465
0	1477
11	744
3	1172
0	1261
5	1284
4	1284
5	1012
0	0
454	68
0	57
0	24
0	6
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	98
0	93
3	349
1	80
36	219
23	97
5	150
4	71
0	7138
31	6800
0	1313
3	445
0	1050
0	488
400	41
0	41
97	341
0	0
14	272
29	543
0	178
0	157
8	140
0	16
49	713
0	346
33	1044
0	604
0	104
0	127
0	118
0	23
0	98
0	63
0	29
0	0
0	0
0	0
0	0
0	0
0	0
1509	1146
0	168
1	128
2	244
5	73
0	128
1	87
0	55
0	49
0	63
0	44
0	57
0	0
7	1010
2	554
0	169
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
38	0
1	0
1522	241
16	241
0	16
15	0
1	190
0	1078
1	1056
0	1078
15	1028
0	6
14	3
0	14
0	32
5	3
0	118
0	0
0	0
0	0
0	0
0	0
0	0
0	0
44	2794
174	349
451	4296
117	4127
22	2360
0	1309
21	3922
0	3123
0	1056
15	1874
0	0
0	39
657	359
20	289
0	216
0	128
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	818
0	818
30	710
0	195
0	0
11	4979
117	4925
2	83
0	1618
0	3016
1	2967
0	132
0	95
0	344
0	11
0	2
0	3
0	204
7	243
0	3
0	4
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
360	38796
125	32156
0	9615
0	2428
19	2176
25	44
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
262	64
0	5
47	59
0	57
0	57
0	58
0	57
0	47
0	37
0	11
0	0
22	0
0	0
0	0
58	1
0	0
0	0
0	0
0	1
0	0
0	0
0	0
219	355
0	339
0	177
105	50
0	33
0	50
0	44
0	0
0	0
905	119
0	0
263	140
12	353
4	297
0	0
0	28
