UniqueCount	AmbigCount
0	11
0	0
52	1200
0	0
0	8
0	5
0	0
0	0
0	0
0	0
0	0
0	0
1	45
0	0
0	8
0	3
0	0
0	28
13	30
6	176
0	34
0	5
42	2
0	2
3	74
0	0
0	0
0	0
0	0
14	1471
4	334
0	394
2	273
59	135
0	3
0	211
0	59
0	14
0	8
0	3
0	7
0	4
0	4
0	0
0	0
0	1
0	2
4	7
0	0
7	1
1	92
0	16
0	42
0	24
10	4
0	9
0	17
4	4
0	0
0	0
0	1
0	26
13	298
0	13
0	3
0	1
0	1
0	0
0	0
0	0
0	0
0	17
0	0
0	0
0	3
0	2
0	1
5605	26951
13388	141606
14087	277065
0	0
47	7620
0	0
141430	68825
55	11231
0	0
0	0
0	24
105	844
0	6
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	19
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	66
0	0
13	0
0	2
0	0
0	4
0	13
0	63
4193	507
0	60
7	65
0	74
0	16
0	16
0	456
0	123
0	113
0	43
0	63
0	0
0	41
21	7
0	12
0	0
0	9
0	0
0	0
0	0
2	0
0	0
15	8
0	7
0	1
0	1
0	0
0	102
0	104
0	106
0	105
0	105
0	106
0	105
0	104
0	107
0	104
0	1
0	0
0	1
0	0
0	0
37	436
174	1166
19	1073
0	0
0	272
5	2
29	48
0	46
5	10
3	17
1	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	1
82	0
5	44
9	36
25	31
2	21
0	1161
0	842
608	1161
0	0
0	0
59	5509
12	5863
13	0
0	104
4	288
6	162
0	5
4	108
0	551
398	1640
0	36
9	66
0	13
0	66
0	0
0	28
0	37
0	0
0	0
0	166
2	167
0	196
0	189
44	134
2	167
0	174
0	18
3	110
0	67
0	51
0	61
0	35
3	17
0	13
0	20
0	7
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	6
3	15
0	10
0	10
2	4
2	4
0	0
19	915
0	677
0	790
145	668
9	564
12	190
2	147
391	0
0	4
0	2
5	4
0	0
0	0
22	0
2	3172
0	3463
34	3044
39	1639
0	1581
0	1350
6	1320
18	282
0	1408
0	815
0	162
0	303
0	488
0	372
0	229
0	1
0	52
0	55
0	203
12	0
0	0
65	0
1	417
0	323
26	408
0	414
0	14
7	371
0	0
3	103
76	3055
167	3033
23	1702
0	1859
11	16
0	188
11	392
13	16
82	603
0	349
128	209
0	168
0	0
0	0
23	104
1	26
0	7
0	62
13	44
0	1216
0	1901
1	1904
1	1507
0	988
2	2002
0	518
1	1677
0	1508
159	1288
8	754
12	1314
0	1894
1	1506
1	1324
11	1513
0	1658
0	483
2	274
8	145
0	1128
0	263
0	354
0	420
20	242
0	312
0	511
0	15
11	147
0	565
8	294
0	313
0	415
0	377
0	374
18	28
22	15
0	178
0	356
0	216
16	125
0	142
0	193
0	64
0	64
0	50
0	103
0	4
0	0
0	0
0	0
31	0
11	151
262	210
0	71
19	0
0	3446
51	3507
1	2159
32	735
0	752
5	404
0	181
7	185
0	0
0	188
3	235
0	245
2	123
23	242
0	128
1	115
15	89
0	1
0	0
13	1185
130	1156
8	1150
50	1170
6	39
0	26
0	0
123	962
17	1044
182	773
33	1338
3	1956
10	991
0	839
2	1291
0	916
0	489
0	847
0	177
0	123
0	122
0	255
0	924
25	40
0	220
0	1
0	71
3	157
6	421
22	460
0	16
0	13
0	426
13	422
0	167
288	803
8	506
23	610
38	3
5	299
0	34
0	1
11	0
31	437
1	448
0	445
0	122
7	61
0	1
22	0
0	0
0	0
0	0
0	0
38	69
17	313
277	383
0	12
68	23
0	0
0	1
20	342
64	323
0	41
65	217
4	138
17	451
0	430
0	454
0	454
0	1
6	57
0	33
90	1441
0	1441
93	9
383	2027
13	1484
0	545
286	166
193	0
0	0
313	0
522	0
4	950
0	1009
0	833
0	1012
60	989
4	941
0	918
19	25
2	84
5	961
12	54
0	751
0	33
1	9
0	128
0	994
5	660
0	79
0	904
6	803
3	39
5	35
5	807
1	124
4	24
0	17
1	98
0	204
0	264
4	169
0	80
10	77
0	15
0	1
1	5
0	15
0	14
0	10
0	10
0	9
0	4
0	5
256	2125
0	1934
0	1582
3	1885
0	1727
0	1622
0	1622
0	1622
0	296
0	52
2	581
0	4520
0	4530
10	1765
36	651
29	24
0	14
0	14
0	1478
1	361
0	1169
1	1350
0	1002
0	1409
0	1211
0	1321
0	1397
0	1208
19	63
3	181
0	62
0	9
0	212
0	32
0	43
4	132
7	192
8	99
0	14
0	3
0	0
295	1293
0	0
257	323
0	0
0	24
3	538
6	69
8	517
3	1403
7	1384
3	1233
0	628
0	2
0	233
0	121
0	54
7	203
0	49
0	36
0	150
1	208
0	134
2	136
0	71
0	0
94	25107
3	23426
336	26329
23	2743
0	5885
10	2348
0	3802
0	1732
0	8
2	722
14	0
9	6
0	6
6	5
0	2
0	21
2	24
0	0
0	8
0	2
0	0
6	42
4	15
1	14
0	1
23	30
0	27
0	10
8	9
0	0
90	0
31	2217
0	1191
0	1232
0	1524
4	1950
28	1503
0	382
2	1656
5	1527
1	1332
2	0
12	2061
1	700
0	330
8	1264
0	513
0	732
0	221
15	1168
0	0
0	0
5	23209
0	1066
0	0
0	6
0	6
0	3
3541	23462
0	1156
170	21081
7	2107
5	3599
0	2416
0	3459
0	2502
0	3789
0	4092
0	2879
0	1635
0	981
0	2414
57	256
827	21010
0	3454
0	14967
14	14567
0	1400
1	1
140	0
64	0
2	3543
6	3546
7	3657
0	3695
0	553
52	158
0	173
0	287
0	257
15	257
2	242
0	71
0	188
0	5
0	0
0	0
2330	29
0	0
0	13
8	16
15	95
3	89
0	81
0	10
5	24
8	22
2	21
0	26
28	6
0	2
0	4
7	0
36	0
0	0
312	0
0	2114
0	107
1	2361
1	308
0	3
23	746
4	261
81	430
4	117
0	1732
4	1249
6	1150
1	236
0	97
0	31
0	26
0	11
0	9
46	1089
0	1054
0	1051
2	1074
1	830
20	528
36	501
0	0
3	0
19	1071
2	944
0	678
1	113
20	64
0	18
1	6
0	144
0	257
0	42
0	1
0	3
132	0
50	0
0	3
0	0
7	20
0	1
3	5
0	8
0	96
0	112
0	113
0	113
4	134
0	239
0	161
6	89
0	124
8	105
155	331
0	265
0	36
4	75
0	0
4	21
0	1
0	0
1	316
0	279
0	1529
0	1479
0	1636
0	1489
1	433
0	1579
0	431
0	107
0	79
0	124
8	1466
0	67
10	1382
0	121
0	132
0	11
0	14
0	0
0	0
0	0
0	2
0	0
0	0
33	7
0	7
0	0
0	0
0	0
0	0
124	403
2	228
2	8
8	337
99	597
0	11
0	12
27	80
0	182
0	9
0	243
0	172
204	258
0	171
0	0
0	164
0	37
0	1
0	0
0	0
0	0
0	0
8	73
0	73
0	72
0	11
0	4
0	10
13	57
0	0
4	57
5	66
0	6
0	56
0	4
0	4
0	0
0	0
17	0
638	3215
13	3215
34	337
35	338
192	18
0	141
0	81
0	33
0	4
0	141
0	99
0	30
0	22
0	20
0	4
0	20
0	20
0	2
0	2
0	4
0	2
0	22
0	2
0	1
0	4
0	0
0	0
0	0
0	62
3	472
177	628
0	20
8	440
6	312
1	44
0	120
0	32
0	12
0	0
0	12
0	0
0	0
4	2
0	0
0	2
1566	264
13	264
0	36
0	0
7	0
288	217
0	10
7	43
0	34
0	26
0	20
0	124
0	8
0	23
0	7
0	37
0	11
0	178
0	180
1	173
0	166
0	176
7	177
1	175
0	172
0	12
0	8
8	42
0	254
17	256
41	237
0	0
0	0
0	0
0	2
25	2
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	111
1161	111
0	4
0	0
0	0
0	0
9	0
0	0
0	0
0	0
7	179
29	183
8	268
4	281
3	292
0	210
0	5
0	6
12	7
0	134
0	11
0	929
736	9529
0	0
0	2343
0	403
19	56
0	8783
0	9328
0	1875
0	1465
37	2570
0	83
1	9270
0	0
3	273
29	8215
2	3060
0	0
17	981
2032	4105
0	263
0	2672
8	1807
0	3076
0	149
0	210
4835	1527
86	1522
145	1844
206	1082
5	822
0	620
9	655
0	0
10	5
0	5
83	282
5	24
28	248
0	0
0	0
0	37
9	28
672	635
0	13
11	622
0	228
0	0
0	0
0	0
476	0
14	3340
0	3163
0	3163
38	3163
0	2806
1	2806
0	3362
0	3362
0	1910
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
