UniqueCount	AmbigCount
0	4
0	0
31	1274
0	0
0	22
0	3
0	0
0	0
0	0
0	0
0	0
0	0
4	59
0	0
0	1
0	4
0	0
0	26
4	33
12	133
0	47
0	14
84	3
0	3
4	93
0	0
0	0
0	0
0	0
15	1577
2	245
0	325
6	215
80	164
0	0
0	157
0	61
0	4
0	7
0	1
0	6
0	1
0	1
0	0
0	0
0	1
0	2
2	4
0	0
1	0
1	98
0	29
0	23
0	36
3	10
0	18
0	31
2	19
0	0
0	0
0	0
0	26
11	307
0	3
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	12
0	0
0	0
0	4
0	2
0	0
6179	41459
11975	128805
18324	309883
0	0
50	5417
2	0
126321	60040
155	16629
0	0
0	0
0	29
118	915
0	8
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	17
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	104
0	0
10	0
0	1
0	1
0	6
0	13
0	63
3836	426
0	74
4	78
0	87
0	17
0	16
1	417
0	182
0	119
0	56
0	63
0	0
0	65
52	10
0	10
0	0
17	9
0	0
0	0
0	0
3	0
0	0
19	10
0	9
0	1
0	1
0	0
0	122
0	124
0	125
0	123
0	125
0	124
0	124
0	123
0	125
0	122
0	5
0	0
0	0
0	0
0	0
45	511
221	1566
28	1449
0	0
0	370
16	8
43	87
2	84
12	19
2	27
2	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	1
121	0
3	116
58	109
22	69
2	60
0	1200
0	856
551	1200
0	0
0	0
68	3608
7	3834
8	0
0	73
1	159
6	102
0	2
16	78
0	356
489	1201
0	28
6	33
0	12
0	33
0	0
0	9
0	14
0	0
0	0
16	302
6	294
0	326
0	333
34	222
3	302
0	293
0	41
0	225
0	141
0	106
0	112
0	55
5	22
0	19
0	25
0	8
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	13
3	21
0	8
0	8
0	6
4	6
0	2
11	1097
0	824
0	960
138	769
1	639
9	232
1	157
417	0
0	1
0	0
0	1
0	0
0	0
8	0
15	2228
0	2448
16	2042
37	1172
0	1114
0	945
5	951
49	197
0	1043
0	578
0	149
0	237
0	354
0	261
0	131
0	0
0	35
0	34
0	110
17	1
0	0
60	0
1	550
0	428
40	542
1	552
0	23
11	506
0	1
5	119
70	3545
180	3425
32	2057
0	2155
8	28
4	239
16	485
13	22
111	686
0	398
73	187
0	203
0	0
0	0
29	138
4	38
9	12
0	82
7	63
1	796
0	1213
1	1215
1	997
0	607
2	1267
0	324
0	1111
0	1000
149	859
0	492
5	876
0	1206
5	998
2	875
1	960
0	1060
0	315
10	236
14	125
0	726
0	212
0	262
0	286
5	160
0	202
0	301
0	17
7	100
3	313
4	170
0	178
0	229
0	203
0	200
13	18
4	9
0	121
0	227
3	196
18	126
3	95
0	107
0	38
0	41
0	34
0	37
0	5
0	0
0	0
0	0
20	0
22	217
339	308
0	106
6	0
0	2824
54	2842
2	1847
13	506
0	556
5	285
0	131
0	191
0	0
0	151
0	160
0	165
0	72
3	165
0	104
1	98
13	49
0	0
0	0
8	1567
130	1546
28	1544
51	1556
21	44
0	16
0	0
69	1211
14	1300
32	945
69	1640
4	2185
19	1386
0	1040
2	1740
0	1563
0	677
0	1033
0	228
2	210
0	194
1	226
0	641
13	41
0	198
0	3
0	61
3	112
6	309
16	360
0	12
0	6
0	328
7	331
0	122
243	656
3	406
39	499
22	0
1	251
0	41
0	0
263	3
37	363
3	368
1	371
0	128
8	54
0	2
5	0
0	0
0	0
0	0
0	0
68	86
23	203
101	289
0	13
97	43
0	0
0	7
8	305
45	283
0	24
34	231
199	187
17	515
0	489
